productid_1,productid_2,attribute_score
P0002,P0018,0.0901685218580934
P0002,P0023,0.0830690462865079
P0002,P0024,0.04718819310573555
P0002,P0025,0.04268391269199678
P0002,P0027,0.0629334825777833
P0002,P0028,0.05621333664987667
P0002,P0030,0.647114607300541
P0002,P0032,0.14697779988806667
P0002,P0033,0.09566361959247975
P0002,P0034,0.08143357585556454
P0002,P0040,0.13360591173849057
P0002,P0043,0.13981821196857575
P0002,P0044,0.2499595796281326
P0002,P0045,0.09520966772381487
P0002,P0046,0.23144601289306221
P0002,P0047,0.3354476297079369
P0002,P0049,0.13736396990236927
P0002,P0050,0.08619281553800551
P0002,P0056,0.3665982629604295
P0002,P0057,0.07268619281553801
P0002,P0059,0.0687705988433555
P0002,P0060,0.106163588499886
P0002,P0065,0.07334121012374853
P0002,P0071,0.34470078560620193
P0002,P0075,0.039031569346848254
P0002,P0076,0.08398109570300355
P0002,P0081,0.06567170366685322
P0002,P0083,0.1381309205480588
P0002,P0086,0.08636071554422403
P0002,P0087,0.07083514706796841
P0002,P0088,0.11782952967269865
P0002,P0098,0.06849698401840681
P0002,P0099,0.18382459631449122
P0002,P0107,0.03782724954915739
P0002,P0109,0.07213481748647473
P0002,P0110,0.13657629086085027
P0002,P0113,0.03493356549136663
P0002,P0114,0.08898078477706611
P0002,P0115,0.1309070746014966
P0002,P0119,0.1261561262773874
P0002,P0121,0.03941297183011007
P0002,P0123,0.042111808967104036
P0002,P0124,0.06905872354538482
P0002,P0125,0.13484339696950853
P0002,P0126,0.08722094397114609
P0002,P0131,0.03690690877432996
P0002,P0135,0.0671185456957486
P0002,P0139,0.38621976245258377
P0002,P0140,0.33582074083286695
P0002,P0141,0.09116452127769832
P0002,P0142,0.07505752129842673
P0002,P0143,0.6160095765188732
P0002,P0144,0.0901312107456004
P0002,P0145,0.08886263292083826
P0002,P0146,0.20384200816698794
P0002,P0147,0.44776340609000265
P0002,P0148,0.12470306572974318
P0002,P0154,0.390782082374645
P0002,P0155,0.6475125925004664
P0002,P0157,0.08826461870115873
P0002,P0159,0.33447546794353583
P0002,P0162,0.12489998549012292
P0002,P0166,0.09920195676056631
P0002,P0169,0.08807495387931928
P0002,P0172,0.12978774122670647
P0002,P0174,0.05211740563397799
P0002,P0176,0.1328368882532181
P0002,P0178,0.07622245714404163
P0002,P0185,0.36617540368550877
P0002,P0188,0.13971042431026265
P0002,P0189,0.1478380283149887
P0002,P0190,0.3681756938830504
P0002,P0191,0.13185228945131938
P0002,P0192,0.42304686690297033
P0002,P0193,0.09559728872582551
P0002,P0196,0.24377111705325125
P0002,P0198,0.8338484339696952
P0002,P0199,0.04753435731608731
P0002,P0200,0.06731339261654541
P0003,P0012,0.3985728499471426
P0003,P0023,0.10513753290632838
P0003,P0025,0.0955226665008395
P0003,P0027,0.07527309661505296
P0003,P0028,0.1319932425429596
P0003,P0032,0.03518437908090293
P0003,P0033,0.08387019878531601
P0003,P0040,0.05460066745434571
P0003,P0043,0.028024791161412013
P0003,P0044,0.2382469995647037
P0003,P0049,0.050842609290467015
P0003,P0056,0.2216083162324068
P0003,P0057,0.010892772008374275
P0003,P0059,0.11943598034948076
P0003,P0065,0.06154778931658479
P0003,P0075,0.14917500984598803
P0003,P0086,0.05184586364861224
P0003,P0107,0.09962067035632113
P0003,P0109,0.010341396679310989
P0003,P0113,0.14672698629853037
P0003,P0114,0.09922579441577017
P0003,P0115,0.6072995045913397
P0003,P0125,0.0230499761623448
P0003,P0135,0.005325124888584876
P0003,P0142,0.06314905789440954
P0003,P0144,0.09807536844723587
P0003,P0145,0.07706921211367451
P0003,P0147,0.18596998528283898
P0003,P0148,0.012909644922579445
P0003,P0154,0.39742449681819125
P0003,P0157,0.09994196049167754
P0003,P0159,0.24626888875069958
P0003,P0162,0.06330659370271335
P0003,P0166,0.03740853595340256
P0003,P0172,0.01799432041954273
P0003,P0174,0.1360891735588583
P0003,P0176,0.021043467446054342
P0003,P0178,0.014429036336877888
P0003,P0185,0.354381982878345
P0003,P0190,0.3700308853097859
P0003,P0192,0.16125344609580664
P0003,P0196,0.33197769624608753
P0004,P0003,0.6284072300644654
P0004,P0006,0.6338256327342827
P0004,P0012,0.17016561988267728
P0004,P0023,0.07673030284186308
P0004,P0024,0.6373888439773646
P0004,P0025,0.08288456356362582
P0004,P0027,0.09686586655058765
P0004,P0028,0.1464139875215057
P0004,P0032,0.10677714901643763
P0004,P0033,0.05546296872085071
P0004,P0040,0.42619343738988036
P0004,P0043,0.09961756109694671
P0004,P0044,0.14016023049976162
P0004,P0045,0.10500901685218583
P0004,P0046,0.12835333623530876
P0004,P0049,0.1224353792260017
P0004,P0050,0.8959921646663765
P0004,P0056,0.09320108616794147
P0004,P0057,0.03248554194390897
P0004,P0059,0.09102875028501545
P0004,P0065,0.03314055925211947
P0004,P0071,0.13490143647783098
P0004,P0075,0.3792322202184773
P0004,P0076,0.12581825342536743
P0004,P0081,0.14412764546151774
P0004,P0083,0.17166842858031217
P0004,P0086,0.07343863358414693
P0004,P0087,0.13896420206040255
P0004,P0098,0.6413023651099642
P0004,P0099,0.12402524718612028
P0004,P0107,0.07802790042078644
P0004,P0109,0.03193416661484568
P0004,P0110,0.14637563998922126
P0004,P0113,0.07513421636299568
P0004,P0114,0.07081856435130485
P0004,P0115,0.8288922745268745
P0004,P0119,0.18364322285098358
P0004,P0123,0.13231245983873308
P0004,P0124,0.6407406255829862
P0004,P0125,0.09464274609787948
P0004,P0126,0.09702029309951704
P0004,P0131,0.627107559645959
P0004,P0135,0.17691789482411957
P0004,P0141,0.18136517214932737
P0004,P0142,0.08474182782994424
P0004,P0144,0.06966813838277057
P0004,P0145,0.1986619820492092
P0004,P0146,0.644042659038617
P0004,P0147,0.10756275521837366
P0004,P0148,0.08450241485811413
P0004,P0154,0.06901726675372592
P0004,P0157,0.12846526957278775
P0004,P0159,0.0746761188151649
P0004,P0162,0.13489936363824806
P0004,P0166,0.05900130588893726
P0004,P0172,0.08958709035507743
P0004,P0174,0.392318056505607
P0004,P0176,0.09263623738158905
P0004,P0178,0.03602180627241258
P0004,P0185,0.02597475281387973
P0004,P0189,0.6619613208133823
P0004,P0190,0.09162365524532057
P0004,P0192,0.08284621603134135
P0004,P0196,0.053570466181622214
P0004,P0200,0.8771127417449165
P0005,P0001,0.2746844101734967
P0005,P0002,0.09852413821694339
P0005,P0003,0.03968244097589288
P0005,P0004,0.06127521091142757
P0005,P0006,0.42744957817714485
P0005,P0008,0.6419242169848476
P0005,P0009,0.0714466347449371
P0005,P0010,0.09872105797732314
P0005,P0011,0.4300924486453993
P0005,P0012,0.0911095910287503
P0005,P0013,0.6673652136061191
P0005,P0018,0.09164438364115002
P0005,P0020,0.7997471135708808
P0005,P0021,0.07498911759218954
P0005,P0022,0.09623365047778953
P0005,P0023,0.0845449080695645
P0005,P0024,0.048664054888792156
P0005,P0025,0.24415977447505338
P0005,P0027,0.11440934436083992
P0005,P0028,0.10768919843293329
P0005,P0030,0.1456387455174844
P0005,P0032,0.39550193810501005
P0005,P0033,0.09418775780942314
P0005,P0034,0.27995771407250797
P0005,P0035,0.11320709740273201
P0005,P0038,0.5916226188255291
P0005,P0040,0.08508177352154717
P0005,P0042,0.6404504280413739
P0005,P0043,0.08834235018551914
P0005,P0044,0.05143544141118919
P0005,P0045,0.44373380594075823
P0005,P0046,0.08292187467611883
P0005,P0047,0.08692349149099352
P0005,P0049,0.38883983168542585
P0005,P0050,0.1347169537549489
P0005,P0054,0.09674356901519392
P0005,P0055,0.14092096262670234
P0005,P0056,0.11807412474348611
P0005,P0057,0.12121033103248141
P0005,P0059,0.07024646062641211
P0005,P0060,0.3576394502829426
P0005,P0063,0.9365109964139876
P0005,P0065,0.2218653483406919
P0005,P0069,0.3760524842982402
P0005,P0071,0.04617664738925854
P0005,P0072,0.12178658043654002
P0005,P0075,0.04050743112990486
P0005,P0076,0.08545695748606015
P0005,P0081,0.21714756544990982
P0005,P0083,0.08960678233111541
P0005,P0085,0.403539373587878
P0005,P0086,0.43783657732728065
P0005,P0087,0.422311008851025
P0005,P0088,0.366353667889642
P0005,P0094,0.6402327798851647
P0005,P0097,0.06991273345355804
P0005,P0098,0.06997284580146343
P0005,P0099,0.08530045809754784
P0005,P0103,0.0952531973550567
P0005,P0105,0.21983189270982317
P0005,P0106,0.6165754617250171
P0005,P0107,0.08930311133221401
P0005,P0109,0.12065895570341811
P0005,P0110,0.08510042907779368
P0005,P0113,0.33640942727442325
P0005,P0114,0.09045664656012271
P0005,P0115,0.0823829363845532
P0005,P0116,0.6393331675061668
P0005,P0119,0.377631988060444
P0005,P0121,0.3908888336131667
P0005,P0123,0.04358767075016065
P0005,P0124,0.07053458532844144
P0005,P0125,0.08336753518645193
P0005,P0126,0.13574508218808945
P0005,P0128,0.3993926580021972
P0005,P0131,0.38838277055738657
P0005,P0135,0.115642683912692
P0005,P0138,0.06678067284372863
P0005,P0139,0.1376956242356404
P0005,P0140,0.08729660261592356
P0005,P0141,0.34264038306075495
P0005,P0142,0.12653338308148332
P0005,P0143,0.06748543830192981
P0005,P0144,0.391607072528657
P0005,P0145,0.08738677113778165
P0005,P0146,0.055317869950044576
P0005,P0147,0.09628754430694608
P0005,P0148,0.07322720394668657
P0005,P0151,0.6947246232614059
P0005,P0152,0.6068662811185043
P0005,P0153,0.22520469290881578
P0005,P0154,0.09225794415770164
P0005,P0155,0.1460367307174098
P0005,P0156,0.05346475136289203
P0005,P0157,0.33974048048421535
P0005,P0159,0.08595132972659247
P0005,P0161,0.07510105092966857
P0005,P0162,0.07637584727317953
P0005,P0163,0.6261188151648944
P0005,P0166,0.14772609497750971
P0005,P0169,0.1395508156623759
P0005,P0172,0.07831187944364987
P0005,P0174,0.0535932674170346
P0005,P0176,0.08136102647016148
P0005,P0178,0.274746595360985
P0005,P0182,0.09318346703148644
P0005,P0183,0.0960698961507369
P0005,P0185,0.06469954190245218
P0005,P0187,0.2062983230727774
P0005,P0188,0.09118628609331925
P0005,P0189,0.09931389009804531
P0005,P0190,0.119651555666107
P0005,P0191,0.08332815123437598
P0005,P0192,0.07157100511991377
P0005,P0193,0.14707315050888214
P0005,P0195,0.9454117695831521
P0005,P0196,0.14229525527019465
P0005,P0198,0.08532429575275169
P0005,P0199,0.09901021909914393
P0005,P0200,0.0658375308334888
P0006,P0003,0.612232862798748
P0006,P0012,0.13633998714839457
P0006,P0023,0.09290467010758037
P0006,P0025,0.26671019629790854
P0006,P0027,0.13695976618369504
P0006,P0028,0.18023962025578844
P0006,P0032,0.37295151628215495
P0006,P0033,0.071637335986568
P0006,P0040,0.09236780465559771
P0006,P0043,0.06579192836266401
P0006,P0044,0.07398586323404432
P0006,P0049,0.388609746491719
P0006,P0056,0.14062454656634124
P0006,P0057,0.09865990920962626
P0006,P0059,0.09279688244926726
P0006,P0065,0.3493149265178368
P0006,P0075,0.06305785295276
P0006,P0086,0.4396130008498642
P0006,P0098,0.6425232676243187
P0006,P0107,0.11185353315506914
P0006,P0109,0.09810853388056298
P0006,P0113,0.35895984909727835
P0006,P0114,0.08699293161702215
P0006,P0115,0.6450666417925917
P0006,P0125,0.06081711336359679
P0006,P0135,0.09309226208983687
P0006,P0142,0.14908380490433848
P0006,P0144,0.3858425056484879
P0006,P0145,0.06483634931492653
P0006,P0147,0.07373712248409096
P0006,P0148,0.050676782123831435
P0006,P0154,0.08519163401944324
P0006,P0157,0.36229090230707045
P0006,P0159,0.10850175154944759
P0006,P0162,0.09892626909603466
P0006,P0166,0.12517567315465455
P0006,P0172,0.05576145762079472
P0006,P0174,0.07614368923988973
P0006,P0176,0.05881060464730634
P0006,P0178,0.2521961735381299
P0006,P0185,0.042149120079597036
P0006,P0190,0.14220197748896213
P0006,P0192,0.04902058329705864
P0006,P0196,0.11974483344733951
P0007,P0001,0.13419874385921274
P0007,P0002,0.0574072922496528
P0007,P0003,0.08079928694318347
P0007,P0004,0.39760794312128184
P0007,P0005,0.6088831540327094
P0007,P0006,0.13143357585556453
P0007,P0008,0.550807371017557
P0007,P0009,0.030329788777646496
P0007,P0010,0.057604212010032546
P0007,P0011,0.08897560267810874
P0007,P0012,0.06777356300395912
P0007,P0013,0.6415179404265905
P0007,P0015,0.7984329332752939
P0007,P0016,0.5900296416060361
P0007,P0018,0.06723877039155939
P0007,P0020,0.5586302676035901
P0007,P0021,0.08389403644051988
P0007,P0022,0.05511680451049894
P0007,P0023,0.07433824596314491
P0007,P0024,0.08978090085608276
P0007,P0025,0.13527662044234398
P0007,P0027,0.1444738096718695
P0007,P0028,0.14880604440022388
P0007,P0030,0.4045218995501938
P0007,P0032,0.054385092137719464
P0007,P0033,0.05307091184213253
P0007,P0034,0.08884086810521735
P0007,P0035,0.4456760566299774
P0007,P0038,0.8827394647928197
P0007,P0040,0.37380138051116224
P0007,P0042,0.5684327259913355
P0007,P0043,0.04722550421822855
P0007,P0044,0.09255228737847979
P0007,P0045,0.10261695997346765
P0007,P0046,0.07596127935659058
P0007,P0047,0.1280403374582841
P0007,P0049,0.07004332234728354
P0007,P0050,0.3936001077876583
P0007,P0051,0.577015318284518
P0007,P0054,0.05562672304790333
P0007,P0055,0.1179621914060071
P0007,P0056,0.1408090292892233
P0007,P0057,0.08009348506519082
P0007,P0059,0.08863669340629729
P0007,P0060,0.0987562962502332
P0007,P0063,0.6276278423812782
P0007,P0065,0.03074850237340132
P0007,P0067,0.5398876520946044
P0007,P0069,0.08283066973446924
P0007,P0071,0.08729349335654914
P0007,P0072,0.08066973446924942
P0007,P0073,0.6343231142341894
P0007,P0075,0.38162427709719543
P0007,P0076,0.07342619654664927
P0007,P0081,0.09173558858279958
P0007,P0082,0.6339002549592687
P0007,P0083,0.06927637170159401
P0007,P0085,0.14465621955516864
P0007,P0086,0.12104657670542877
P0007,P0087,0.1365721451816844
P0007,P0088,0.025236821922351427
P0007,P0092,0.6296820264079763
P0007,P0094,0.8491159339178741
P0007,P0096,0.5334079555583193
P0007,P0097,0.23897042057915138
P0007,P0098,0.08891030823124599
P0007,P0099,0.12641730406483842
P0007,P0102,0.6971685011296976
P0007,P0103,0.06362995667765273
P0007,P0104,0.6118949899467281
P0007,P0105,0.08905126132288622
P0007,P0106,0.5923076923076923
P0007,P0107,0.13041995729950462
P0007,P0108,0.6417314429036337
P0007,P0109,0.07954210973612752
P0007,P0110,0.04398358311050308
P0007,P0113,0.07752627324171385
P0007,P0114,0.0684265074725867
P0007,P0115,0.2265002176481562
P0007,P0116,0.5482163215388761
P0007,P0117,0.8440519868167403
P0007,P0119,0.08125116597226541
P0007,P0121,0.13200567958045728
P0007,P0123,0.08470451671745126
P0007,P0124,0.08834856870426798
P0007,P0125,0.042250689219161336
P0007,P0126,0.09462823622079888
P0007,P0128,0.0594904960305122
P0007,P0130,0.5930570238169268
P0007,P0131,0.12949961652467717
P0007,P0133,0.9498258814750328
P0007,P0134,0.6241765644756753
P0007,P0135,0.22452583794540143
P0007,P0137,0.5967497875339427
P0007,P0138,0.09210248118898079
P0007,P0139,0.12118752979706901
P0007,P0140,0.12841344858321416
P0007,P0141,0.08375722902804553
P0007,P0142,0.13234977095122608
P0007,P0143,0.0913977157307796
P0007,P0144,0.0672760815040524
P0007,P0145,0.19626992517049105
P0007,P0146,0.09643471591733516
P0007,P0147,0.05517069833965549
P0007,P0148,0.03211035797939598
P0007,P0151,0.6036077772941153
P0007,P0152,0.5979831270857948
P0007,P0153,0.03408784694152519
P0007,P0154,0.06662520987500778
P0007,P0155,0.1049198847501192
P0007,P0156,0.09458159733018262
P0007,P0157,0.08085732645150594
P0007,P0159,0.12706817569388307
P0007,P0161,0.33398420496237796
P0007,P0162,0.08250730675952989
P0007,P0163,0.8350019691976038
P0007,P0164,0.6083504342598927
P0007,P0166,0.1066092490102191
P0007,P0169,0.11933233837033352
P0007,P0172,0.03719503347635927
P0007,P0174,0.39471011338432516
P0007,P0176,0.040244180502870874
P0007,P0178,0.08362974939369441
P0007,P0182,0.28430031299877706
P0007,P0183,0.06281325788197252
P0007,P0185,0.02358269593516157
P0007,P0187,0.097415169040068
P0007,P0188,0.21769686793939017
P0007,P0189,0.0595692639346641
P0007,P0190,0.13923159836660243
P0007,P0191,0.22555500279833343
P0007,P0192,0.030454159152623186
P0007,P0193,0.11181000352382729
P0007,P0194,0.6175787160831624
P0007,P0195,0.6365286155504426
P0007,P0196,0.10117840930290406
P0007,P0198,0.07355885827995771
P0007,P0199,0.14012706506643452
P0007,P0200,0.3247206848661982
P0008,P0001,0.06660862715834422
P0008,P0002,0.09340007876790415
P0008,P0003,0.08160665796074042
P0008,P0004,0.05319942789627511
P0008,P0006,0.06937379516199241
P0008,P0009,0.12952241776008955
P0008,P0010,0.0932031590075244
P0008,P0011,0.0881682316605518
P0008,P0012,0.08303380801359783
P0008,P0013,0.6092894305909666
P0008,P0018,0.13356860062599757
P0008,P0020,0.6421771034139668
P0008,P0021,0.06691333457703708
P0008,P0022,0.09569056650705803
P0008,P0023,0.27646912505441207
P0008,P0024,0.2405882718736397
P0008,P0025,0.03608399145990091
P0008,P0027,0.056333561345687455
P0008,P0028,0.3496134154177808
P0008,P0030,0.09628547146736315
P0008,P0032,0.0964222788798375
P0008,P0033,0.1477364591754244
P0008,P0034,0.0880334970876604
P0008,P0035,0.055131314387579546
P0008,P0038,0.5835468358103767
P0008,P0040,0.07700599050639471
P0008,P0042,0.6323746450262215
P0008,P0043,0.09641813320067161
P0008,P0044,0.04335965839603673
P0008,P0045,0.0981904110440893
P0008,P0046,0.12484609166096637
P0008,P0047,0.02884770847584106
P0008,P0049,0.08076404867027341
P0008,P0050,0.09279273677010136
P0008,P0054,0.09518064796965364
P0008,P0055,0.08284517961154986
P0008,P0056,0.059998341728333654
P0008,P0057,0.07928611404763386
P0008,P0059,0.11217067761125966
P0008,P0060,0.04956366726779015
P0008,P0063,0.5784352133988351
P0008,P0065,0.1299411313558444
P0008,P0069,0.0679767012830877
P0008,P0071,0.0881008643741061
P0008,P0072,0.07986236345169248
P0008,P0075,0.0824316481147524
P0008,P0076,0.4273811744709077
P0008,P0081,0.10907178243475738
P0008,P0083,0.08153099931596294
P0008,P0085,0.04546359057272558
P0008,P0086,0.07976079431212818
P0008,P0087,0.06423522583587256
P0008,P0088,0.07442945090479448
P0008,P0094,0.6983085629003172
P0008,P0097,0.11183695043840558
P0008,P0098,0.261897062786311
P0008,P0099,0.02722467508239537
P0008,P0103,0.08717741433990424
P0008,P0105,0.11175610969467073
P0008,P0106,0.7584996787098647
P0008,P0107,0.33122732831706153
P0008,P0109,0.22873473871857058
P0008,P0110,0.24317621209294613
P0008,P0113,0.07833364425927078
P0008,P0114,0.13238086354497025
P0008,P0115,0.07430715336940075
P0008,P0116,0.6474089505213192
P0008,P0119,0.06955620504529154
P0008,P0121,0.032813050598014225
P0008,P0123,0.2355118877350082
P0008,P0124,0.11245880231328897
P0008,P0125,0.2414433182016044
P0008,P0126,0.09382086520324193
P0008,P0128,0.14131687498704476
P0008,P0131,0.0303069875422341
P0008,P0135,0.07371846692784445
P0008,P0138,0.10870488982857618
P0008,P0139,0.07961984122048794
P0008,P0140,0.029220819600771088
P0008,P0141,0.03456460004560246
P0008,P0142,0.3684576000663309
P0008,P0143,0.10940965528677736
P0008,P0144,0.13353128951350457
P0008,P0145,0.14546255415293413
P0008,P0146,0.09724208693489211
P0008,P0147,0.09563667267790146
P0008,P0148,0.23130298696183904
P0008,P0151,0.6471995937234418
P0008,P0152,0.8987904981033519
P0008,P0153,0.08328047592396826
P0008,P0154,0.13418216114254916
P0008,P0155,0.24588748626743775
P0008,P0156,0.09538896834773958
P0008,P0157,0.03166469746906288
P0008,P0159,0.02787554671143999
P0008,P0161,0.133176833944821
P0008,P0162,0.21830006425802706
P0008,P0163,0.6841945981800469
P0008,P0166,0.09419812200733785
P0008,P0169,0.08147503264722344
P0008,P0172,0.08638766245880232
P0008,P0174,0.09551748440188214
P0008,P0176,0.23943680948531393
P0008,P0178,0.08282237837613748
P0008,P0182,0.03510768401633396
P0008,P0183,0.08799411313558443
P0008,P0185,0.12277532491760464
P0008,P0187,0.09822254005762494
P0008,P0188,0.08311050307816678
P0008,P0189,0.09123810708289286
P0008,P0190,0.061575772650954534
P0008,P0191,0.07525236821922351
P0008,P0192,0.07964678813506623
P0008,P0193,0.23899736749372966
P0008,P0195,0.5873359865679996
P0008,P0196,0.09962896171465291
P0008,P0198,0.07724851273759924
P0008,P0199,0.19093443608399147
P0008,P0200,0.12391331384864127
P0009,P0001,0.5961310449184338
P0009,P0002,0.0729224965279937
P0009,P0003,0.06112907572082996
P0009,P0004,0.032721845656364656
P0009,P0006,0.04889621292208196
P0009,P0010,0.372725576767614
P0009,P0011,0.6413541860995378
P0009,P0012,0.06255622577368739
P0009,P0018,0.2630910183860871
P0009,P0021,0.19643575233712662
P0009,P0022,0.07521298426714756
P0009,P0023,0.10599154281450159
P0009,P0024,0.07011068963372924
P0009,P0025,0.01560640921999047
P0009,P0027,0.685855979105777
P0009,P0028,0.029135833177870364
P0009,P0030,0.07580788922745268
P0009,P0032,0.5759446966399271
P0009,P0033,0.777258876935514
P0009,P0034,0.09148892067242917
P0009,P0035,0.03465373214766909
P0009,P0040,0.056528408266484254
P0009,P0043,0.23310428455941795
P0009,P0044,0.022882076156126276
P0009,P0045,0.07771282880417885
P0009,P0046,0.10436850942105591
P0009,P0047,0.008370126235930598
P0009,P0049,0.560286466430363
P0009,P0050,0.08672968098998819
P0009,P0055,0.6123675973716395
P0009,P0056,0.0395207594884232
P0009,P0057,0.8997636962875444
P0009,P0059,0.8916930953713493
P0009,P0060,0.029086085027879696
P0009,P0065,0.14958128640424517
P0009,P0069,0.5974991190431773
P0009,P0071,0.06762328213419563
P0009,P0072,0.7996600543083972
P0009,P0075,0.561954065874842
P0009,P0076,0.10690359223099724
P0009,P0081,0.08859420019484693
P0009,P0083,0.3610534170760525
P0009,P0085,0.5749860083328152
P0009,P0086,0.5592832120722178
P0009,P0087,0.04375764359596212
P0009,P0088,0.09490703314470494
P0009,P0097,0.09135936819849513
P0009,P0098,0.09141948054640052
P0009,P0099,0.006747092842484925
P0009,P0103,0.06669983209999379
P0009,P0105,0.6412785274547603
P0009,P0107,0.5107497460771511
P0009,P0109,0.09921232095848104
P0009,P0110,0.08634620566714342
P0009,P0113,0.05785606201936033
P0009,P0114,0.2619032813050598
P0009,P0115,0.0538295711294903
P0009,P0119,0.04907862280538109
P0009,P0121,0.012335468358103764
P0009,P0123,0.06503430549509776
P0009,P0124,0.3919812200733785
P0009,P0125,0.5880790995584851
P0009,P0126,0.23570155255684763
P0009,P0128,0.6708392927471344
P0009,P0131,0.009829405302323659
P0009,P0135,0.09419604916775491
P0009,P0138,0.7882273075886659
P0009,P0139,0.05914225898057749
P0009,P0140,0.008743237360860646
P0009,P0141,0.014087017805692015
P0009,P0142,0.5479800178264205
P0009,P0143,0.3889320730468669
P0009,P0144,0.6130537072735941
P0009,P0145,0.13405986360715544
P0009,P0146,0.07676450469498167
P0009,P0147,0.07515909043799102
P0009,P0148,0.09821943079825052
P0009,P0153,0.6462419418361214
P0009,P0154,0.11370457890263873
P0009,P0155,0.07540990402752731
P0009,P0156,0.9249113861078293
P0009,P0157,0.5111871152291524
P0009,P0159,0.5073979644715295
P0009,P0161,0.14634558381526855
P0009,P0162,0.5478224820181166
P0009,P0166,0.7237205397674275
P0009,P0169,0.210997450407313
P0009,P0172,0.8931347553012873
P0009,P0174,0.5750399021619718
P0009,P0176,0.09008560827477563
P0009,P0178,0.5967000393839521
P0009,P0182,0.5646301017764236
P0009,P0183,0.21751653089567397
P0009,P0185,0.1432529071575151
P0009,P0187,0.6277449578177146
P0009,P0188,0.06263292083825633
P0009,P0189,0.22076052484298242
P0009,P0190,0.5410981904110441
P0009,P0191,0.05477478597931307
P0009,P0192,0.09987562962502333
P0009,P0193,0.06851978525381922
P0009,P0196,0.07915137947474245
P0009,P0198,0.056770930497688776
P0009,P0199,0.020456853844081004
P0009,P0200,0.1443908960885517
P0010,P0002,0.6998030802396203
P0010,P0003,0.03840349895321602
P0010,P0004,0.1099962688887507
P0010,P0006,0.07617063615446801
P0010,P0012,0.13983064900607345
P0010,P0018,0.24036544161847315
P0010,P0022,0.6975125925004665
P0010,P0023,0.08326596604688763
P0010,P0024,0.04738511286611529
P0010,P0025,0.04288083245237653
P0010,P0027,0.36313040233816307
