product_id1,product_id2,attribute_prob,behaviour_prob
P1022,P1024,0.9545,0.8087
P1120,P1128,0.9545,0.8103
P1291,P1294,0.9545,0.6896
P1200,P1209,0.9545,0.68
P1296,P1297,0.9545,0.5048
P1291,P1296,0.9545,0.2725
P1291,P1297,0.9545,0.6397
P1294,P1297,0.9545,0.1384
P1064,P1074,0.9545,0.1053
P1294,P1296,0.9545,0.5734
P1280,P1295,0.9545,0.1095
P1289,P1296,0.9545,0.2859
P1070,P1076,0.9545,0.1256
P1070,P1074,0.9545,0.7939
P1285,P1295,0.9545,0.5736
P1081,P1082,0.9545,0.0692
P1074,P1076,0.9545,0.7643
P1016,P1018,0.9524,0.2265
P1349,P1356,0.9524,0.1447
P1211,P1217,0.9524,0.7461
P1211,P1213,0.9524,0.5262
P1349,P1353,0.9524,0.1875
P1211,P1212,0.9524,0.7898
P1101,P1105,0.9524,0.0269
P1349,P1352,0.9524,0.0673
P1349,P1350,0.9524,0.0061
P1285,P1288,0.9524,0.0123
P1014,P1017,0.9524,0.0459
P1015,P1016,0.9524,0.5362
P1012,P1018,0.9524,0.473
P1283,P1293,0.9524,0.4353
P1012,P1016,0.9524,0.3187
P1012,P1015,0.9524,0.3192
P1193,P1197,0.9524,0.0511
P1210,P1218,0.9524,0.85
P1064,P1065,0.9524,0.5467
P1210,P1217,0.9524,0.7307
P1330,P1335,0.9524,0.515
P1211,P1218,0.9524,0.8586
P1212,P1213,0.9524,0.5564
P1290,P1293,0.9524,0.6684
P1333,P1335,0.9524,0.6461
P1353,P1356,0.9524,0.305
P1195,P1197,0.9524,0.1683
P1213,P1218,0.9524,0.7014
P1200,P1205,0.9524,0.0199
P1352,P1356,0.9524,0.083
P1352,P1353,0.9524,0.2422
P1213,P1217,0.9524,0.4641
P1282,P1288,0.9524,0.2001
P1282,P1285,0.9524,0.1901
P1008,P1018,0.9524,0.3726
P1350,P1352,0.9524,0.0615
P1106,P1107,0.9524,0.2251
P1280,P1282,0.9524,0.6925
P1323,P1328,0.9524,0.5704
P1350,P1356,0.9524,0.1394
P1212,P1218,0.9524,0.3269
P1015,P1018,0.9524,0.6412
P1350,P1353,0.9524,0.1925
P1212,P1217,0.9524,0.1722
P1286,P1287,0.9524,0.4331
P1210,P1213,0.9524,0.4975
P1180,P1191,0.9524,0.4108
P1210,P1212,0.9524,0.7771
P1010,P1011,0.9524,0.6221
P1189,P1199,0.9524,0.9315
P1060,P1063,0.9524,0.8512
P1011,P1014,0.9524,0.2676
P1312,P1318,0.9524,0.5019
P1025,P1028,0.9524,0.4448
P1025,P1027,0.9524,0.5553
P1311,P1318,0.9524,0.3103
P1280,P1288,0.9524,0.6156
P1311,P1312,0.9524,0.2778
P1023,P1025,0.9524,0.5905
P1310,P1318,0.9524,0.743
P1023,P1027,0.9524,0.0791
P1310,P1312,0.9524,0.872
P1310,P1311,0.9524,0.8227
P1023,P1028,0.9524,0.2625
P1342,P1352,0.9524,0.2953
P1190,P1191,0.9524,0.608
P1280,P1285,0.9524,0.6203
P1330,P1333,0.9524,0.2703
P1343,P1353,0.9524,0.6544
P1165,P1168,0.9524,0.7932
P1011,P1017,0.9524,0.2323
P1217,P1218,0.9524,0.4428
P1004,P1014,0.9524,0.1058
P1161,P1168,0.9524,0.8001
P1010,P1014,0.9524,0.7232
P1210,P1211,0.9524,0.0573
P1202,P1207,0.9524,0.527
P1180,P1190,0.9524,0.3347
P1061,P1064,0.9524,0.506
P1189,P1191,0.9524,0.8627
P1027,P1028,0.9524,0.1991
P1193,P1195,0.9524,0.1235
P1189,P1190,0.9524,0.9462
P1010,P1017,0.9524,0.7099
P1161,P1165,0.9524,0.0335
P1180,P1189,0.9524,0.9191
P1061,P1065,0.9524,0.0824
P1180,P1184,0.95,0.0991
P1080,P1094,0.95,0.0946
P1283,P1284,0.95,0.791
P1080,P1093,0.95,0.685
P1090,P1093,0.95,0.7118
P1090,P1094,0.95,0.1716
P1080,P1091,0.95,0.477
P1089,P1092,0.95,0.7866
P1080,P1090,0.95,0.085
P1090,P1091,0.95,0.4285
P1089,P1099,0.95,0.6612
P1166,P1167,0.95,0.6957
P1171,P1172,0.95,0.3747
P1071,P1072,0.95,0.2963
P1180,P1182,0.95,0.5182
P1091,P1093,0.95,0.8353
P1091,P1094,0.95,0.5265
P1002,P1004,0.95,0.7499
P1062,P1072,0.95,0.0538
P1160,P1173,0.95,0.485
P1160,P1177,0.95,0.5773
P1170,P1171,0.95,0.9118
P1163,P1167,0.95,0.5219
P1100,P1116,0.95,0.0142
P1170,P1172,0.95,0.9449
P1173,P1177,0.95,0.1793
P1182,P1184,0.95,0.566
P1163,P1166,0.95,0.8545
P1093,P1094,0.95,0.6521
P1100,P1115,0.95,0.8085
P1201,P1203,0.95,0.2775
P1340,P1351,0.95,0.1071
P1342,P1343,0.95,0.6284
P1341,P1351,0.95,0.7431
P1000,P1013,0.95,0.9134
P1115,P1116,0.95,0.8057
P1192,P1198,0.95,0.4613
P1188,P1198,0.95,0.5415
P1260,P1273,0.9474,0.5521
P1254,P1258,0.9474,0.7627
P1322,P1324,0.9474,0.1428
P1322,P1327,0.9474,0.0952
P1260,P1277,0.9474,0.6449
P1256,P1257,0.9474,0.2798
P1260,P1276,0.9474,0.459
P1001,P1006,0.9474,0.0845
P1062,P1066,0.9474,0.1884
P1001,P1005,0.9474,0.5959
P1062,P1067,0.9474,0.8761
P1302,P1304,0.9474,0.1313
P1269,P1272,0.9474,0.5034
P1324,P1327,0.9474,0.0526
P1300,P1314,0.9474,0.2764
P1186,P1187,0.9474,0.6089
P1276,P1277,0.9474,0.3437
P1080,P1085,0.9474,0.6673
P1269,P1275,0.9474,0.2161
P1248,P1258,0.9474,0.379
P1340,P1341,0.9474,0.7123
P1273,P1276,0.9474,0.1721
P1273,P1277,0.9474,0.2072
P1320,P1321,0.9474,0.1617
P1320,P1322,0.9474,0.4107
P1320,P1324,0.9474,0.3125
P1320,P1327,0.9474,0.3487
P1270,P1277,0.9474,0.3232
P1254,P1256,0.9474,0.0201
P1270,P1276,0.9474,0.0303
P1270,P1273,0.9474,0.1462
P1187,P1188,0.9474,0.8948
P1321,P1322,0.9474,0.506
P1321,P1324,0.9474,0.4237
P1321,P1327,0.9474,0.454
P1169,P1178,0.9474,0.3585
P1254,P1257,0.9474,0.265
P1186,P1188,0.9474,0.7309
P1272,P1275,0.9474,0.6107
P1260,P1270,0.9474,0.4754
P1256,P1258,0.9474,0.7675
P1257,P1258,0.9474,0.6771
P1000,P1007,0.9474,0.1796
P1066,P1067,0.9474,0.8474
P1084,P1087,0.9474,0.6968
P1005,P1006,0.9474,0.5586
P1307,P1308,0.9444,0.5712
P1250,P1251,0.9444,0.7141
P1251,P1255,0.9444,0.8503
P1251,P1253,0.9444,0.671
P1242,P1248,0.9444,0.3657
P1086,P1096,0.9444,0.0921
P1271,P1278,0.9444,0.3033
P1249,P1252,0.9444,0.4294
P1261,P1271,0.9444,0.0321
P1250,P1255,0.9444,0.4764
P1241,P1251,0.9444,0.7634
P1162,P1164,0.9444,0.2442
P1262,P1268,0.9444,0.7114
P1250,P1253,0.9444,0.1309
P1260,P1264,0.9444,0.5653
P1253,P1255,0.9444,0.5449
P1262,P1266,0.9444,0.0604
P1262,P1263,0.9444,0.6469
P1266,P1268,0.9444,0.6928
P1240,P1246,0.9444,0.6406
P1263,P1266,0.9444,0.6242
P1261,P1279,0.9444,0.9504
P1263,P1268,0.9444,0.1826
P1300,P1308,0.9444,0.3755
P1300,P1307,0.9444,0.7322
P1083,P1086,0.9412,0.0335
P1244,P1245,0.9412,0.4446
P1245,P1247,0.9412,0.0049
P1244,P1247,0.9412,0.4473
P1044,P1053,0.9333,0.2214
P1048,P1053,0.9333,0.5639
P1047,P1053,0.9333,0.7462
P1041,P1053,0.9333,0.0163
P1144,P1151,0.9259,0.5627
P1147,P1156,0.9259,0.1355
P1147,P1151,0.9259,0.763
P1046,P1057,0.9259,0.897
P1227,P1234,0.9259,0.6625
P1144,P1156,0.9259,0.5315
P1046,P1055,0.9259,0.4089
P1227,P1229,0.9259,0.8241
P1141,P1156,0.9259,0.7025
P1045,P1058,0.9259,0.532
P1141,P1157,0.9259,0.9373
P1144,P1157,0.9259,0.9013
P1043,P1059,0.9231,0.4276
P1235,P1239,0.9231,0.2029
P1124,P1130,0.9231,0.0882
P1236,P1239,0.9231,0.9415
P1125,P1132,0.9231,0.5515
P1238,P1239,0.9231,0.9132
P1148,P1150,0.9231,0.0589
P1123,P1130,0.9231,0.2111
P1124,P1135,0.9231,0.294
P1123,P1132,0.9231,0.4215
P1043,P1050,0.9231,0.3447
P1125,P1130,0.9231,0.3884
P1124,P1132,0.9231,0.3314
P1228,P1231,0.9231,0.3001
P1224,P1236,0.9231,0.6982
P1225,P1239,0.9231,0.5672
P1123,P1135,0.9231,0.3892
P1042,P1054,0.9231,0.8124
P1224,P1239,0.9231,0.8063
P1224,P1238,0.9231,0.5518
P1225,P1238,0.9231,0.7994
P1145,P1150,0.9231,0.752
P1228,P1230,0.9231,0.726
P1224,P1235,0.9231,0.8456
P1225,P1236,0.9231,0.8649
P1042,P1049,0.9231,0.8123
P1042,P1051,0.9231,0.4031
P1050,P1059,0.9231,0.1266
P1075,P1079,0.92,0.2382
P1223,P1237,0.92,0.7702
P1146,P1159,0.92,0.1475
P1073,P1079,0.92,0.5012
P1222,P1233,0.92,0.4519
P1077,P1079,0.92,0.6278
P1103,P1118,0.92,0.3386
P1226,P1232,0.92,0.1825
P1223,P1232,0.92,0.8596
P1226,P1237,0.92,0.2527
P1158,P1159,0.92,0.7642
P1326,P1337,0.92,0.4849
P1155,P1159,0.92,0.4336
P1104,P1110,0.92,0.4268
P1104,P1111,0.92,0.1838
P1326,P1332,0.92,0.3172
P1104,P1118,0.92,0.324
P1348,P1354,0.92,0.5235
P1103,P1110,0.92,0.7437
P1221,P1232,0.92,0.7189
P1143,P1154,0.92,0.781
P1102,P1118,0.92,0.1211
P1146,P1158,0.92,0.7234
P1102,P1111,0.92,0.0576
P1348,P1355,0.92,0.0358
P1344,P1355,0.92,0.5592
P1103,P1111,0.92,0.4522
P1221,P1237,0.92,0.5399
P1121,P1133,0.92,0.4963
P1146,P1155,0.92,0.3356
P1102,P1110,0.92,0.5591
P1142,P1154,0.92,0.5283
P1122,P1134,0.9167,0.6602
P1346,P1358,0.9167,0.9335
P1127,P1134,0.9167,0.1904
P1306,P1309,0.9167,0.4386
P1306,P1319,0.9167,0.4065
P1306,P1313,0.9167,0.3596
P1301,P1309,0.9167,0.9716
P1303,P1319,0.9167,0.0965
P1313,P1319,0.9167,0.0732
P1303,P1309,0.9167,0.1454
P1345,P1358,0.9167,0.9104
P1301,P1313,0.9167,0.9677
P1122,P1138,0.9167,0.8898
P1122,P1129,0.9167,0.8891
P1127,P1129,0.9167,0.5969
P1325,P1334,0.9167,0.0666
P1127,P1138,0.9167,0.5995
P1208,P1219,0.913,0.4501
P1082,P1097,0.913,0.0136
P1305,P1316,0.913,0.8831
P1024,P1033,0.913,0.8716
P1082,P1098,0.913,0.1556
P1137,P1139,0.913,0.2667
P1081,P1098,0.913,0.2141
P1021,P1038,0.913,0.4599
P1022,P1029,0.913,0.3749
P1022,P1033,0.913,0.3292
P1024,P1029,0.913,0.6939
P1081,P1097,0.913,0.0819
P1120,P1139,0.913,0.1245
P1128,P1139,0.913,0.7833
P1128,P1137,0.913,0.7045
P1204,P1219,0.913,0.1292
P1064,P1076,0.9091,0.7366
P1323,P1338,0.9091,0.761
P1168,P1174,0.9091,0.8698
P1028,P1035,0.9091,0.1892
P1165,P1176,0.9091,0.2375
P1323,P1336,0.9091,0.4006
P1328,P1331,0.9091,0.3902
P1288,P1295,0.9091,0.5683
P1323,P1331,0.9091,0.2955
P1286,P1298,0.9091,0.1899
P1168,P1175,0.9091,0.8434
P1065,P1076,0.9091,0.4189
P1065,P1074,0.9091,0.5944
P1108,P1114,0.9091,0.5367
P1328,P1336,0.9091,0.2833
P1357,P1359,0.9091,0.273
P1108,P1113,0.9091,0.6702
P1032,P1039,0.9091,0.1776
P1065,P1070,0.9091,0.4919
P1205,P1209,0.9091,0.6735
P1025,P1031,0.9091,0.6229
P1323,P1329,0.9091,0.6978
P1108,P1112,0.9091,0.2732
P1027,P1035,0.9091,0.3506
P1023,P1035,0.9091,0.402
P1168,P1176,0.9091,0.7288
P1202,P1216,0.9091,0.2255
P1101,P1109,0.9091,0.6795
P1028,P1031,0.9091,0.3209
P1161,P1176,0.9091,0.2631
P1202,P1214,0.9091,0.3206
P1287,P1299,0.9091,0.0242
P1064,P1070,0.9091,0.7697
P1023,P1031,0.9091,0.0792
P1026,P1032,0.9091,0.0136
P1026,P1034,0.9091,0.3046
P1298,P1299,0.9091,0.5519
P1026,P1039,0.9091,0.1889
P1287,P1298,0.9091,0.5408
P1347,P1359,0.9091,0.4631
P1105,P1109,0.9091,0.6706
P1063,P1078,0.9091,0.6604
P1027,P1031,0.9091,0.1521
P1108,P1117,0.9091,0.1456
P1282,P1295,0.9091,0.6546
P1165,P1174,0.9091,0.3707
P1207,P1214,0.9091,0.3038
P1183,P1194,0.9091,0.3055
P1286,P1299,0.9091,0.4468
P1034,P1039,0.9091,0.1427
P1061,P1070,0.9091,0.5337
P1328,P1329,0.9091,0.2965
P1161,P1174,0.9091,0.3488
P1061,P1074,0.9091,0.558
P1161,P1175,0.9091,0.2164
P1061,P1076,0.9091,0.4668
P1202,P1215,0.9091,0.2178
P1207,P1216,0.9091,0.6336
P1207,P1215,0.9091,0.63
P1343,P1350,0.9048,0.7209
P1343,P1349,0.9048,0.7192
P1342,P1353,0.9048,0.0701
P1181,P1195,0.9048,0.1585
P1015,P1019,0.9048,0.0374
P1343,P1356,0.9048,0.7598
P1184,P1199,0.9048,0.0595
P1342,P1350,0.9048,0.2491
P1281,P1292,0.9048,0.2527
P1016,P1019,0.9048,0.5535
P1182,P1190,0.9048,0.6795
P1342,P1349,0.9048,0.2444
P1181,P1197,0.9048,0.0116
P1018,P1019,0.9048,0.6547
P1182,P1189,0.9048,0.8321
P1342,P1356,0.9048,0.3537
P1343,P1352,0.9048,0.7381
P1012,P1019,0.9048,0.3447
P1335,P1339,0.9048,0.89
P1206,P1212,0.9048,0.2578
P1184,P1190,0.9048,0.2615
P1206,P1217,0.9048,0.1034
P1191,P1199,0.9048,0.5008
P1002,P1010,0.9048,0.1918
P1002,P1011,0.9048,0.6946
P1002,P1014,0.9048,0.7763
P1206,P1218,0.9048,0.5004
P1333,P1339,0.9048,0.6893
P1002,P1017,0.9048,0.7656
P1184,P1189,0.9048,0.9271
P1283,P1290,0.9048,0.8127
P1008,P1019,0.9048,0.7833
P1008,P1016,0.9048,0.5147
P1008,P1015,0.9048,0.7749
P1008,P1012,0.9048,0.6694
P1004,P1017,0.9048,0.0628
P1180,P1199,0.9048,0.1527
P1004,P1011,0.9048,0.1809
P1004,P1010,0.9048,0.6905
P1206,P1213,0.9048,0.4024
P1190,P1199,0.9048,0.2148
P1206,P1211,0.9048,0.7169
P1206,P1210,0.9048,0.6997
P1182,P1191,0.9048,0.1823
P1182,P1199,0.9048,0.5918
P1181,P1193,0.9048,0.0399
P1330,P1339,0.9048,0.7733
P1284,P1293,0.9048,0.63
P1184,P1191,0.9048,0.4692
P1284,P1290,0.9048,0.1038
P1066,P1072,0.9,0.1422
P1062,P1071,0.9,0.3341
P1006,P1009,0.9,0.0391
P1087,P1092,0.9,0.248
P1085,P1090,0.9,0.6364
P1087,P1089,0.9,0.7163
P1116,P1119,0.9,0.0569
P1088,P1095,0.9,0.2201
P1085,P1091,0.9,0.3639
P1115,P1119,0.9,0.794
P1304,P1317,0.9,0.6836
P1085,P1093,0.9,0.8952
P1084,P1092,0.9,0.772
P1005,P1009,0.9,0.5758
P1302,P1317,0.9,0.6358
P1001,P1009,0.9,0.0472
P1160,P1179,0.9,0.3459
P1084,P1089,0.9,0.0642
P1066,P1071,0.9,0.1796
P1085,P1094,0.9,0.6988
P1084,P1099,0.9,0.6379
P1087,P1099,0.9,0.1626
P1092,P1099,0.9,0.3703
P1186,P1192,0.9,0.6839
P1173,P1179,0.9,0.2127
P1177,P1179,0.9,0.3539
P1185,P1196,0.9,0.267
P1187,P1198,0.9,0.7705
P1187,P1192,0.9,0.8764
P1188,P1192,0.9,0.1488
P1007,P1013,0.9,0.9289
P1100,P1119,0.9,0.0703
P1186,P1198,0.9,0.4132
P1067,P1072,0.9,0.8691
P1067,P1071,0.9,0.814
P1264,P1273,0.8947,0.0295
P1267,P1272,0.8947,0.012
P1248,P1259,0.8947,0.3254
P1242,P1254,0.8947,0.3976
P1256,P1259,0.8947,0.7474
P1257,P1259,0.8947,0.6493
P1162,P1178,0.8947,0.2683
P1258,P1259,0.8947,0.0795
P1242,P1259,0.8947,0.5721
P1162,P1169,0.8947,0.1232
P1164,P1169,0.8947,0.138
P1264,P1270,0.8947,0.1715
P1264,P1277,0.8947,0.1831
P1267,P1275,0.8947,0.606
P1242,P1258,0.8947,0.6061
P1242,P1256,0.8947,0.4097
P1248,P1256,0.8947,0.6256
P1264,P1276,0.8947,0.1965
P1164,P1178,0.8947,0.447
P1248,P1254,0.8947,0.6179
P1242,P1257,0.8947,0.1804
P1307,P1314,0.8947,0.6299
P1254,P1259,0.8947,0.7422
P1248,P1257,0.8947,0.4801
P1308,P1314,0.8947,0.137
P1267,P1269,0.8947,0.4974
P1265,P1274,0.8889,0.845
P1247,P1249,0.8889,0.8348
P1247,P1252,0.8889,0.7105
P1245,P1252,0.8889,0.7091
P1271,P1279,0.8889,0.9519
P1261,P1278,0.8889,0.2802
P1245,P1249,0.8889,0.834
P1241,P1253,0.8889,0.2809
P1244,P1252,0.8889,0.4762
P1241,P1255,0.8889,0.3671
P1278,P1279,0.8889,0.931
P1244,P1249,0.8889,0.7012
P1241,P1250,0.8889,0.1726
P1083,P1096,0.8889,0.1225
P1305,P1345,0.7826,0.9259
P1051,P1056,0.7778,0.8195
P1052,P1056,0.7778,0.3575
P1054,P1057,0.7778,0.0906
P1051,P1057,0.7778,0.8769
P1054,P1055,0.7778,0.9446
P1052,P1057,0.7778,0.058
P1054,P1056,0.7778,0.3797
P1052,P1055,0.7778,0.9427
P1049,P1056,0.7778,0.3794
P1051,P1055,0.7778,0.5057
P1049,P1055,0.7778,0.9446
P1049,P1057,0.7778,0.0901
P1042,P1046,0.7692,0.5009
P1309,P1354,0.76,0.5125
P1309,P1355,0.76,0.0135
P1313,P1354,0.76,0.4439
P1313,P1355,0.76,0.1114
P1306,P1344,0.75,0.2254
P1302,P1342,0.75,0.2176
P1301,P1348,0.75,0.9723
P1301,P1344,0.75,0.9348
P1303,P1344,0.75,0.4912
P1303,P1348,0.75,0.1647
P1316,P1358,0.75,0.8587
P1306,P1348,0.75,0.4513
P1315,P1358,0.75,0.2986
P1042,P1057,0.7407,0.7937
P1042,P1056,0.7407,0.6975
P1042,P1055,0.7407,0.705
P1029,P1031,0.7391,0.139
P1316,P1346,0.7391,0.5294
P1029,P1035,0.7391,0.5259
P1315,P1345,0.7391,0.8722
P1031,P1033,0.7391,0.513
P1023,P1033,0.7391,0.4711
P1305,P1346,0.7391,0.945
P1033,P1035,0.7391,0.1155
P1300,P1340,0.7368,0.2671
P1046,P1054,0.7308,0.9064
P1046,P1052,0.7308,0.903
P1046,P1049,0.7308,0.9063
P1046,P1051,0.7308,0.1639
P1318,P1357,0.7273,0.4588
P1024,P1025,0.7273,0.9006
P1310,P1357,0.7273,0.8609
P1022,P1025,0.7273,0.4806
P1024,P1027,0.7273,0.7765
P1024,P1028,0.7273,0.821
P1022,P1023,0.7273,0.2115
P1312,P1357,0.7273,0.0797
P1022,P1027,0.7273,0.1438
P1023,P1024,0.7273,0.7573
P1311,P1357,0.7273,0.2153
P1022,P1028,0.7273,0.0646
P1306,P1354,0.72,0.1317
P1303,P1355,0.72,0.1337
P1303,P1354,0.72,0.4296
P1306,P1355,0.72,0.4309
P1301,P1355,0.72,0.9713
P1319,P1355,0.72,0.0412
P1319,P1354,0.72,0.4846
P1301,P1354,0.72,0.9418
P1317,P1353,0.7143,0.735
P1001,P1019,0.7143,0.1814
P1009,P1016,0.7143,0.4276
P1317,P1356,0.7143,0.8158
P1009,P1015,0.7143,0.1897
P1009,P1012,0.7143,0.1598
P1009,P1018,0.7143,0.5572
P1317,P1352,0.7143,0.7992
P1009,P1019,0.7143,0.22
P1182,P1202,0.7143,0.6014
P1317,P1350,0.7143,0.786
P1005,P1015,0.7143,0.6563
P1302,P1352,0.7143,0.4486
P1006,P1016,0.7143,0.4043
P1317,P1349,0.7143,0.7847
P1305,P1358,0.7083,0.173
P1319,P1348,0.7083,0.0755
P1309,P1348,0.7083,0.0226
P1306,P1326,0.7083,0.4131
P1309,P1344,0.7083,0.5652
P1313,P1348,0.7083,0.1432
P1313,P1344,0.7083,0.504
P1319,P1344,0.7083,0.5403
P1052,P1058,0.7037,0.1599
P1057,P1058,0.7037,0.1082
P1049,P1058,0.7037,0.1885
P1056,P1058,0.7037,0.2352
P1051,P1058,0.7037,0.8619
P1055,P1058,0.7037,0.9318
P1045,P1055,0.7037,0.8542
P1054,P1058,0.7037,0.1889
P1001,P1008,0.7,0.7353
P1052,P1053,0.7,0.6023
P1304,P1342,0.7,0.0994
P1304,P1343,0.7,0.5874
P1006,P1008,0.7,0.7109
P1302,P1343,0.7,0.525
P1005,P1008,0.7,0.3451
P1300,P1351,0.7,0.1792
P1051,P1053,0.7,0.7083
P1053,P1054,0.7,0.6161
P1049,P1053,0.7,0.6159
P1314,P1351,0.7,0.1184
P1027,P1033,0.6957,0.4256
P1023,P1029,0.6957,0.2072
P1315,P1346,0.6957,0.9052
P1028,P1029,0.6957,0.4153
P1025,P1029,0.6957,0.6754
P1028,P1033,0.6957,0.2828
P1027,P1029,0.6957,0.27
P1025,P1033,0.6957,0.2258
P1305,P1325,0.6957,0.1249
P1316,P1345,0.6957,0.3657
P1050,P1054,0.6923,0.2193
P1049,P1059,0.6923,0.1058
P1050,P1051,0.6923,0.8565
P1049,P1050,0.6923,0.2189
P1045,P1046,0.6923,0.7533
P1042,P1045,0.6923,0.5057
P1050,P1052,0.6923,0.1914
P1040,P1054,0.6897,0.0102
P1044,P1054,0.6897,0.701
P1041,P1042,0.6897,0.5193
P1041,P1051,0.6897,0.7131
P1040,P1052,0.6897,0.0444
P1042,P1044,0.6897,0.3725
P1040,P1042,0.6897,0.8143
P1042,P1047,0.6897,0.4807
P1042,P1048,0.6897,0.7869
P1040,P1049,0.6897,0.0107
P1040,P1051,0.6897,0.8892
P1257,P1277,0.6842,0.5798
P1256,P1276,0.6842,0.1111
P1308,P1341,0.6842,0.6624
P1308,P1340,0.6842,0.1479
P1314,P1340,0.6842,0.0126
P1307,P1340,0.6842,0.6346
P1300,P1341,0.6842,0.7892
P1307,P1341,0.6842,0.2127
P1189,P1215,0.6818,0.9144
P1194,P1204,0.6818,0.511
P1190,P1215,0.6818,0.371
